QIS No.,QIS Name,QIS Name - New,Site Type2,Area,City,Circle,Region,Lat,Long
WMQISXM1V1-00085,Bengaluru-Konanakunte,"BLR_PVT_Kuvempu Nagar, Konanakunte",Private,Konankunte ,Bengaluru,Karnataka,South,12.8868,77.55774
WMQISXM1V1-00084,Bangalore-Nagavara-Junction,"BLR_PVT_Nagavara-Junction, HBCS Layout",Private,Hennur- Nagwara ,Bengaluru,Karnataka,South,13.03786,77.6141719
WMQISXM1V1-00089,IOCL Auto Yard,"DEL_IOC_Auto-Yard, Jasola Vihar",IOCL,Auto Yard,Delhi,Delhi,North,28.537881,77.284283
WMQISXM1V1-00094,Medical College,"CAL_PVT_K.M. Apartment, Velliparamba",Private,Kozhikoda,Calicut,Kerala,South,11.269885,75.839507
WMQISXM1V1-00095,Kazhakoottam,"TVD_PVT_Technopark Campus, Kazhakkoottam",Private,"Pulinthanam Lane,",Trivandrum,Kerala,South,8.5651499,76.8785611
WMQISXM1V1-00091,Budh Vihar/ Sultanpuri,"DEL_PVT_Harsh Dev Park, Budh Vihar",Private,Budh Vihar,Delhi,Delhi,North,28.714337,77.084686
WMQISXM1V1-00103,Sector 29 Faridabad,"FDB_PVT_Bhoor Colony, Old Faridabad",Private,Old Faridabad Sabzi Mandi,Faridabad,Haryana,North,28.4281264,77.3225272
WMQISXM1V1-00109,Private (New Yelahanka),"BLR_PVT_Udaya Layout, Yelahanka",Private,New Yehlanka,Bengaluru,Karnataka,South,13.097303,77.576711
WMQISXM1V1-00099,Mundka,"DEL_PVT_West Cabin Block, Mundka",Private,Metro Station,Delhi,Delhi,North,28.683376,77.030912
WMQISXM1V1-00081,Mankav,"CAL_IOC_Mankavu, Thiruvannur",IOCL, Mini Bypass Rd,Calicut,Kerala,South,11.233617,75.803352
WMQISXM1V1-00105,BECIL (Sapna Cinema),"DEL_BEC_Sapna Cinema, East of Kailash",BECIL,Lala Lajpat Nagar,Delhi,Delhi,North,28.5591021,77.2465663
WMQISXM1V1-00082,Maysore Road_Relocation,"BLR_PVT_Basappa Layout, Rajarajeshwari Nagar",Private,Basappa layout,Bengaluru,Karnataka,South,12.918473,77.509565
WMQISXM1V1-00114,Sector 80- Big Basket Hub,"NOI_PVT_Sorkha, Sector 115",Private,Vasant Vihar,Noida,UP,North,28.57116,77.40797
WMQISXM1V1-00108,Anand Vihar,DEL_PVT_Ghazipur,Private,Anand Vihar,Delhi,Delhi,North,28.63319281,77.31649746
WMQISXM1V1-00090,Tata Power (Mangolpuri) 1,"DEL_TPO_Mangolpuri,RIICO Phase1",Tata Power,Industrial Area,Delhi,Delhi,North,28.687259,77.082775
WMQISXM1V1-00113,Laxmi Nagar,"DEL_PVT_Block F, Laxmi Nagar",Private,Laxmi Nagar,Delhi,Delhi,North,28.63474216,77.27954709
WMQISXM1V1-00112,Tata Power Pitampura 1,"DEL_TPO_West Enclave,Pitampura",Tata Power,West Enclave,Delhi,Delhi,North,28.6933,77.105388
WMQISXM1V1-00096,Private (Thampanoor/ East Fort) ,"TVD_PVT_Paund Colony, Thycaud",Private,Thampanoor,Trivandrum,Kerala,South,8.494876,76.957039
WMQISXM1V1-00111,Thirumala Junction(AR Fuels),"TVD_PVT_Thirumala, Nareencheril",Private,Thirumala,Trivandrum,Kerala,South,8.4971686,76.99535122
WMQISXM1V1-00127,Kapas Hera – IOCL Rajasthan Highway SS,"DEL_IOC_Kapas-Hera, D block",IOCL,Kapas Hera,Delhi,Delhi,North,28.518251,77.081182
WMQISXM1V1-00125,IOCL Jindal Filling,"DEL_IOC_Jindal-Filling, New Friends Colony",IOCL,Mathura Road,Delhi,Delhi,North,28.56236,77.26643
WMQISXM1V1-00118,DH Road Collectorate Office,"KOC_IOC_Ernakulam, DH-Road",IOCL,Collectorate office,Kochi,Kerala,South,9.96771,76.282181
WMQISXM1V1-00119,Kadavantra,"KOC_PVT_Janatha, Ernakulam",Private,Janatha Junction,Kochi,Kerala,South,9.96768,76.311762
WMQISXM1V1-00132,Zirakpur Ambala Road IOCL,CDG_IOC_Zirakpur-Ambala-Road,IOCL,Zirakpur Ambala Road,Chandigarh,Punjab,North,30.66555061,76.81654107
WMQISXM1V1-00134,Maria Fuel - Thoppumpadi,"KOC_PVT_Karuvelipady, Thoppumpady",Private,Thoppumpadi,Kochi,Kerala,South,9.93944,76.259943
WMQISXM1V1-00120,Kaloor - Junction,"KOC_PVT_Kacheripady, Ernakulam",Private,Townhall Metro Station,Kochi,Kerala,South,9.991022,76.28772
WMQISXM1V1-00139,Devraj Enterprises,"BLR_IOC_Devraj-Enterprises, Suramayi Plaza, Bellandur",IOCL,Bellandur,Bengaluru,Karnataka,South,12.923337,77.669701
WMQISXM1V1-00131,IOCL Lotus Automobiles,"DEL_IOC_Lotus-Automobiles, Ghitorni",IOCL,Andheria Mor Mahrauli Gurgaon Road ,Delhi,Delhi,North,28.50427,77.17168333
WMQISXM1V1-00128,Rohini Sector-28,"DEL_PVT_Sector 28, Rohini",Private,Rohini,Delhi,Delhi,North,28.7482932,77.101008
WMQISXM1V1-00137,Shubhash Nagar Metro Parking 1,DEL_DTL_Shubhash Nagar Metro Station,DTL,Subhash Nagar,Delhi,Delhi,North,28.640928,77.105056
WMQISXM1V1-00141,Haiderpur,"GUR_PVT_Ghatta Kanarpur, Sector 58",Private,Haiderpur,Gurugram,Haryana,North,28.4197526,77.1104857
WMQISXM1V1-00142,Wazirpur - IOCL United Fuel Station,"DEL_IOC_Wazirpur-United-Fuel, Pitampura",IOCL,Wazirpur,Delhi,Delhi,North,28.696438,77.155124
WMQISXM1V1-00144,Vasant vihar 1,"DEL_DTL_CGHS Colony, Vasant Vihar",DTL,Vasant vihar ,Delhi,Delhi,North,28.55759,77.162533
WMQISXM1V1-00145,Kair 1,DEL_DTL_Kair,DTL,Kair ,Delhi,Delhi,North,28.61882,76.930195
WMQISXM1V1-00136,Dwarka Mor Metro Parking 1,DEL_DTL_Dwarka Mor Metro Parking,DTL,Dwarka Mor Metro Parking ,Delhi,Delhi,North,28.618761,77.033409
WMQISXM1V1-00149,Indraprastha 1,DEL_DTL_Indraprastha Metro station,DTL,Indraprastha,Delhi,Delhi,North,28.620485,77.249458
WMQISXM1V1-00148,Shadipur Depot 1,DEL_DTL_Shadipur Post,DTL,Shadipur Depot ,Delhi,Delhi,North,28.65348,77.15571
WMQISXM1V1-00143,Sahibabad,,Private,Sahibabad,Ghaziabad,UP,North,28.656255,77.3524557
WMQISXM1V1-00147,Naharpur(Zyngo parking),"GUR_PVT_Guru Nanak Complex, Near Anaj Mandi",Private,Naharpur,Gurugram,Haryana,North,28.442149,77.015803
WMQISXM1V1-00163,Kalyanagar Pvt Hub,"BLR_PVT_Chellikere, Kalyan Nagar",Hub-Private,Kalyan Nagar,Bengaluru,Karnataka,South,13.026237,77.642209
WMQISXM1V1-00158,Sector 44 Gurugram,"GUR_PVT_Kanhai Colony, Sector 44",Private,Kanhi Colony,Gurugram,Haryana,North,28.4485539,77.077442
WMQISXM1V1-00159,Indraprastha 2,DEL_DTL_Indraprastha Metro station,DTL,Indraprastha,Delhi,Delhi,North,28.620485,77.249458
WMQISXM1V1-00151,Sector22/Udyog Vihar,"GUR_PVT_Phase4,Udyog ViharSector18",Private,Mullahera,Gurugram,Haryana,North,28.501995,77.067433
WMQISXM1V1-00161,Delhi Diesel,"DEL_IOC_Diesels, Yamuna Vihar, Shahdara",IOCL,Near gokul escape,Delhi,Delhi,North,28.70279,77.26609
WMQISXM1V1-00157,LIBRA FILLING STATION,"DEL_IOC_Libra-Filling-Station, Azadpur",IOCL,Dehli Karnal Raod,Delhi,Delhi,North,28.721768,77.165309
WMQISXM1V1-00171,Dwarka Mor Metro Parking 2,DEL_DTL_Dwarka Mor Metro Parking,DTL,BRPL ,Delhi,Delhi,North,28.618761,77.033409
WMQISXM1V1-00169,Kair 2,DEL_DTL_Kair,DTL,BRPL ,Delhi,Delhi,North,28.61882,76.930195
WMQISXM1V1-00170,Shubhash Nagar Metro Parking  2,DEL_DTL_Shubhash Nagar Metro Station,DTL,BRPL ,Delhi,Delhi,North,28.640928,77.105056
WMQISXM1V1-00168,Vasant vihar 2,"DEL_DTL_CGHS Colony, Vasant Vihar",DTL,Vasant vihar ,Delhi,Delhi,North,28.55759,77.162533
WMQISXM1V1-00167,Shadipur Depot 2,DEL_DTL_Shadipur Post,DTL,BYPL ,Delhi,Delhi,North,28.65348,77.15571
WMQISXM1V1-00165,KR Puram,"BLR_PVT_Bhattarahalli, KR Puram",Private,KR Puram,Bengaluru,Karnataka,South,13.0220799,77.7095966
WMQISXM1V1-00133,"Shakthi Fuels, Edapally","KOC_IOC_Shakti-Fuel, Edapally, Ernakulam",IOCL,"Changampuzha Park, Edapally",Kochi,Kerala,South,10.012253,76.302952
WMQISXM1V1-00195,COCO KR Puram II 1,"BLR_IOC_Coco-KR-Puram, Singayyanapalya",IOCL,Mahadevapura,Bengaluru,Karnataka,South,13.000115,77.68708166
WMQISXM1V1-00179,I.P. Extension,"DEL_BYP_I.P.Extension, West Vinod Nagar",BYPL,Narwana Road,Delhi,Delhi,North,28.62566,77.30835
WMQISXM1V1-00185,Karkardooma,"DEL_BYP_Vishwas Nagar, Shahdara",BYPL,Karkardooma,Delhi,Delhi,North,28.65528,77.29795
WMQISXM1V1-00193,SMPL Plant-2,"BLR_SMP_SUNM office, Doddanekkundi",SMPL,Dudanekhundi,Bengaluru,Karnataka,South,12.977114,77.70653
WMQISXM1V1-00175,Rajendra Place-BYPL,"DEL_BYP_Rajendra Place, Block 13",BYPL,Rajendra Place,Delhi,Delhi,North,28.643384,77.175902
WMQISXM1V1-00182,Uttam Nagar west Metro Parking 1,DEL_DTL_Uttam Nagar West Metro Parking,DTL,BRPL ,Delhi,Delhi,North,28.621556,77.055414
WMQISXM1V1-00183,Uttam Nagar west Metro Parking 2,DEL_DTL_Uttam Nagar West Metro Parking,DTL,BRPL ,Delhi,Delhi,North,28.621556,77.055414
WMQISXM1V1-00177,MAA ANAND MAI SERV.STN.,"DEL_IOC_Maa-Anand-Mai-Service-Station, Mayur Vihar Ph I",IOCL,East Delhi,Delhi,Delhi,North,28.613115,77.309658
WMQISXM1V1-00181,Uttam Nagar East Metro Parking 1,DEL_DTL_Uttam Nagar East Metro Parking,DTL,BRPL ,Delhi,Delhi,North,28.624221,77.064835
WMQISXM1V1-00184,Uttam Nagar East Metro Parking 2,DEL_DTL_Uttam Nagar East Metro Parking,DTL,BRPL ,Delhi,Delhi,North,28.624221,77.064835
WMQISXM1V1-00176,Shankar Road,"DEL_BYP_Shankar Rd, New Rajinder Nagar",BYPL,Shankar Road,Delhi,Delhi,North,28.636072,77.184568
WMQISXM1V1-00178,JAI BANGLAMUKHI ECO FUEL STN.,"DEL_IOC_Jai-Banglamukhi-Eco-Fuel, Pitampura",IOCL,Pitampura,Delhi,Delhi,North,28.688734,77.104843
WMQISXM1V1-00180,MANGAL PETRO-1,"DEL_IOC_Mangal Petro, West Enclave, Pitampura",IOCL,Pitampura,Delhi,Delhi,North,28.688816,77.104702
WMQISXM1V1-00191,Bindapur Terminal 1,"DEL_DTL_Uttam Nagar, Bindapur",DTL,BRPL ,Delhi,Delhi,North,28.608414,77.066024
WMQISXM1V1-00201,Jumpstart Autoelectric,CDG_RFP_Makhan Majra,DCO,Mauli Jagran,Chandigarh,Punjab,North,30.689542,76.81599
WMQISXM1V1-00500,IOCL-Bengaluru-HSR-2,"BLR_IOC_HSR Layout, Agara Village",IOCL,HSR layout,Bengaluru,Karnataka,South,12.9215,77.64467
WMQISXM1V1-00138,Madhav Fuels 1,"DEL_IOC_Madhav-Fuels, Chetan Vihar",IOCL,Najfgarh,Delhi,Delhi,North,28.6083603,76.9531635
WMQISXM1V1-00162,MAHENDRA,"DEL_IOC_Mahendra, Vishwas Nagar, Shahdara",IOCL,Shahdara,Delhi,Delhi,North,28.662,77.30089
WMQISXM1V1-00215,Bindapur Terminal 2,"DEL_DTL_Uttam Nagar, Bindapur",DTL,BRPL ,Delhi,Delhi,North,28.608414,77.066024
WMQISXM1V1-00164,Nandini Layout,BLR_PVT_Nandini layout,Private,Yashwantpur ,Bengaluru,Karnataka,South,13.014228,77.533315
WMQISXM1V1-00298,Mayur Vihar Phase 3,"DEL_BYP_Lahore Apartment, Vasundhara Enclave",BYPL,Mayur Vihar,Delhi,Delhi,North,28.60265,77.31857
WMQISXM1V1-00190,Azad Fuels,"DEL_IOC_Azad-Fuels, Punjabi Bagh",IOCL,"INDIRA COLONY, PUNJABI BAGH",Delhi,Delhi,North,28.6736,77.1429
WMQISXM1V1-00197,"BSES Enforcement Office, Hari Nagar 1",DEL_DTL_Hari Nagar,DTL,BRPL ,Delhi,Delhi,North,28.629217,77.110593
WMQISXM1V1-00214,"BSES Enforcement Office, Hari Nagar -2",DEL_DTL_Hari Nagar,DTL,BRPL ,Delhi,Delhi,North,28.629217,77.110593
WMQISXM1V1-00188,"Singh Service Station, GT Karnal road","DEL_IOC_Singh-Service-Karnal-Road, Sultan Puri",IOCL,GT Karnal Road,Delhi,Delhi,North,28.6933716,77.18929
WMQISXM1V1-00209,"IOCL-Delhi-Hari-Nagar, Satya ser.-2","DEL_IOC_Hari-Nagar, Jail road",IOCL,Janakpuri,Delhi,Delhi,North,28.62761,77.10046
WMQISXM1V1-00503,Sector 117-Noida,NOI_PVT_Sector 116,Private,Gautam Budha Nagar,Noida,UP,North,28.569529,77.399389
WMQISXM1V1-00221,Ardee City,"GUR_PVT_Sarswati Kunj II, Wazirabad",Private,Wazirabad,Gurugram,Haryana,North,28.43674,77.0861
WMQISXM1V1-00504,Rajendra Place 1,DEL_DTL_Rajendra Place Metro station,DTL,BYPL ,Delhi,Delhi,North,28.642741,77.177471
WMQISXM1V1-00220,Rajendra Place 2,DEL_DTL_Rajendra Place Metro station,DTL,BYPL ,Delhi,Delhi,North,28.642741,77.177471
WMQISXM1V1-00189,CAPT AMIT SERVICE STATION,"DEL_IOC_CAPT-AMIT-SERVICE-STATION, Hari Nagar",IOCL,Hari Nagar,Delhi,Delhi,North,28.622736,77.110688
WMQISXM1V1-00235,Darya Ganj,"DEL_BYP_Darya Ganj, Kamla Market",BYPL,Asaf Ali Marg,Delhi,Delhi,North,28.6442913,77.226182
WMQISXM1V1-00225,Chandini Chowk,DEL_BYP_Chandni Chowk,BYPL,Chandni Chowk,Delhi,Delhi,North,28.6589174,77.22642
WMQISXM1V1-00269,Nacharam ,"HYD_PVT_Annapurna Colony, Mallapur",Private,Nacharam-Mallapur Rd,Hyderabad,Telangana,South,17.442974,78.566754
WMQISXM1V1-00248,IOC COCO SECTOR 19 DWARKA,DEL_IOC_Coco-Dwarka-Sector-19,IOCL,Southwest Delhi,Delhi,Delhi,North,28.577385,77.053236
WMQISXM1V1-00254,AUTOFUEL 1,"DEL_IOC_Autofuel, Pitampura",IOCL,TELEPHONE EXCH PITAMPURA ,Delhi,Delhi,North,28.68852,77.11297
WMQISXM1V1-00255,AUTOFUEL-2,"DEL_IOC_Autofuel, Pitampura",IOCL,TELEPHONE EXCH PITAMPURA ,Delhi,Delhi,North,28.68852,77.11297
WMQISXM1V1-00242,Naharpur 2,"GUR_PVT_Guru Nanak Complex, Near Anaj Mandi",Private,Naharpur,Gurugram,Haryana,North,28.441985,77.016062
WMQISXM1V1-00263,Narela - IOCL Har Sreenath 1,"DEL_IOC_Haar-Shreenath-Narella, sector A7, Narela",IOCL,Narela,Delhi,Delhi,North,28.847158,77.099431
WMQISXM1V1-00239,BSES corporate,DEL_BYP_BSES corporate Annexe Office_Karkardooma,BYPL,Karkardooma,Delhi,Delhi,North,28.66182,77.29975
WMQISXM1V1-00267,Shubhash Nagar Metro Parking  3,DEL_DTL_Shubhash Nagar Metro Station,DTL,BRPL ,Delhi,Delhi,North,28.640928,77.105056
WMQISXM1V1-00238,Shahadara,"DEL_BYP_GT Rd,Shahdara",BYPL,GT road Shahdara,Delhi,Delhi,North,28.6760901,77.309675
WMQISXM1V1-00257,Nand Nagri,"DEL_BYP_West Jyoti Nagar, Nand Nagri",BYPL,Nand Nagri,Delhi,Delhi,North,28.6924845,77.303919
WMQISXM1V1-00260,Anaj Mandi 1,"GUR_PVT_Anaj Mandi, Hari Nagar",Private,Raj Nagar,Gurugram,Haryana,North,28.448345,77.020148
WMQISXM1V1-00244,Dwarka 1,DEL_DTL_Dwarka Metro station,DTL,BRPL ,Delhi,Delhi,North,28.616569,77.023656
WMQISXM1V1-00245,Dwarka 2,DEL_DTL_Dwarka Metro station,DTL,BRPL ,Delhi,Delhi,North,28.616569,77.023656
WMQISXM1V1-00252,Krishna Nagar,"DEL_BYP_Block J, Krishna Nagar,",BYPL,Krishna Nagar,Delhi,Delhi,North,28.65888,77.28635
WMQISXM1V1-00304,Magadi Road,"BLR_PVT_Bhuvaneshwari Nagar, Binnipete",Private,Magadi Road,Bengaluru,Karnataka,South,12.970399,77.559193
WMQISXM1V1-00271,Shadipur 1,DEL_DTL_Vishwavidyalaya Metro station,DTL,TPDDL ,Delhi,Delhi,North,28.650781,77.158524
WMQISXM1V1-00265,Janakpuri East Metro Parking 1,DEL_DTL_Janakpuri East Metro Parking,DTL,BRPL ,Delhi,Delhi,North,28.633473,77.08791
WMQISXM1V1-00230,Sagar Automobiles,"NOI_IOC_Sagar-Automobiles, Block A, Sector 15",IOCL,Sector-15 Noida,Noida,UP,North,28.583849,77.3112
WMQISXM1V1-00292,Jail Road,"CAL_PVT_Chintavalap School Cross Rd, Palayam",Private,Sabha school cross road,Calicut,Kerala,South,11.252985,75.789513
WMQISXM1V1-00272,Shadipur 2,DEL_DTL_Vishwavidyalaya Metro station,DTL,TPDDL ,Delhi,Delhi,North,28.650781,77.158524
WMQISXM1V1-00266,Janakpuri East Metro Parking 2,DEL_DTL_Janakpuri East Metro Parking,DTL,BRPL ,Delhi,Delhi,North,28.633473,77.08791
WMQISXM1V1-00295,Konarkunte Cross,"BLR_PVT_Vallabha Nagar, Bikasipura",Private,Konarkunte,Bengaluru,Karnataka,South,12.889313,77.556311
WMQISXM1V1-00519,Arekere- Bangalore,"BLR_PVT_BTS Layout Main Rd, Arekere",Private,Arekere,Bengaluru,Karnataka,South,12.8867344,77.6085295
WMQISXM1V1-00251,"Karawal Nagar, Near Gokul Puri",DEL_BYP_Near Gokul Puri Police Station,BYPL,Yamuna Vihar,Delhi,Delhi,North,28.702436,77.279101
WMQISXM1V1-00520,Hegde Nagar,"BLR_PVT_Hegde nagar, Police Quarters",Private,Sri Subramanya Swamy devasthana,Bengaluru,Karnataka,South,13.0726234,77.636312
WMQISXM1V1-00261,Sector 31 Gurugram 1,"GUR_PVT_Uniworld City, Sector 30",Private,Silokhara,Gurugram,Haryana,North,28.45945,77.05636
WMQISXM1V1-00279,Sector 83,GUR_PVT_Sector 83,Private,Sikohpur,Gurugram,Haryana,North,28.38921,76.97443
WMQISXM1V1-00282,Adarsh Service Station,"GZB_IOC_Adarsh-Service-Station, Lohia Nagar",IOCL,Lohia Nagar,Ghaziabad,UP,North,28.673879,77.430181
WMQISXM1V1-00241,Chaudhary Automobiles,"NOI_IOC_Chaudhary-Automobiles, Hosiery Complex",IOCL,Yakubpur,Noida,UP,North,28.534656,77.40413
WMQISXM1V1-00526,JP Nagar_Pvt_1,"BLR_PVT_Hub_Puttenahalli,JP Nagar",Private,JP Nagar,Bengaluru,Karnataka,South,12.89321982,77.58404202
WMQISXM1V1-00537,SINGASANDRA,"BLR_PVT_Earappa Reddy Layout, Agrahara",Private,Near NV health Care,Bengaluru,Karnataka,South,12.871638,77.6610968
WMQISXM1V1-00258,Sector 72 Gurugram 1,"GUR_PVT_Fazilpur Jharsa, Sector 71",Private,Fazilpur,Gurugram,Haryana,North,28.41346,77.02447
WMQISXM1V1-00540,Amar Service Station,"BLR_IOC_Amar-Service-Station, Marathahalli",IOCL,Marathahalli,Bengaluru,Karnataka,South,12.9553566,77.6911116
WMQISXM1V1-00299,SHRADDHA FUELS,"DEL_IOC_Shraddha-Fuels, Fatehpur Beri",IOCL,South Delhi,Delhi,Delhi,North,28.4497,77.184
WMQISXM1V1-00310,NAGARBHAVI,"BLR_PVT_D-Group Layout, Srigandada Kaval",Private,NAGARBHAVI,Bengaluru,Karnataka,South,12.970112,77.498663
WMQISXM1V1-00508,BEE GEE MOTORS,"DEL_IOC_Bee-Gee-Motors, Narela",IOCL,DSIDC Complex NARELA,Delhi,Delhi,North,28.83677,77.097332
WMQISXM1V1-00511,Indraprastha 3,DEL_DTL_Indraprastha Metro station,DTL,BYPL ,Delhi,Delhi,North,28.620485,77.249458
WMQISXM1V1-00311,Esteem Mall,"BLR_PVT_Maheswari Nagar, T. Dasarahalli",Private,Near Esteem Mall,Bengaluru,Karnataka,South,13.047671,77.597992
WMQISXM1V1-00515,Dwarka 3,DEL_DTL_Dwarka Metro station,DTL,BRPL ,Delhi,Delhi,North,28.616569,77.023656
WMQISXM1V1-00513,Uttam Nagar East Metro Parking 3,DEL_DTL_Uttam Nagar East Metro Parking,DTL,BRPL ,Delhi,Delhi,North,28.624221,77.064835
WMQISXM1V1-00547,Koramangala 5th Block,"BLR_PVT_Koramangala, 5th-Block",Private,17th C Main Road Kormangala,Bengaluru,Karnataka,South,12.935309,77.620449
WMQISXM1V1-00334,RAMAMURTHY NAGAR,BLR_PVT_Ramamurthy Nagar,Private,RAMAMURTHY NAGAR,Bengaluru,Karnataka,South,13.0214215,77.6721855
WMQISXM1V1-00514,Uttam Nagar west Metro Parking 3,DEL_DTL_Uttam Nagar West Metro Parking,DTL,BRPL ,Delhi,Delhi,North,28.621556,77.055414
WMQISXM1V1-00512,Janakpuri East Metro Parking 3,DEL_DTL_Janakpuri East Metro Parking,DTL,BRPL ,Delhi,Delhi,North,28.633473,77.08791
WMQISXM1V1-00280,Tikri Petro 1,"DEL_IOC_Tikri-Petro, Saharanpur, Tyagi Vihar",IOCL,Tikri Border,Delhi,Delhi,North,28.68644,76.98583
WMQISXM1V1-00281,Tikri Petro 2,"DEL_IOC_Tikri-Petro, Saharanpur, Tyagi Vihar",IOCL,Tikri Border,Delhi,Delhi,North,28.68644,76.98583
WMQISXM1V1-00336,Meenkashi Mall,"BLR_PVT_Narayana Reddy Layout, Kamanahalli",Private,Near Meenkashi Mall,Bengaluru,Karnataka,South,12.86684,77.597973
WMQISXM1V1-00326,Sector 72 Gurugram 2,"GUR_PVT_Fazilpur Jharsa, Sector 71",Private,Fazilpur,Gurugram,Haryana,North,28.41346,77.02447
WMQISXM1V1-00546,Sector 31 Gurugram 2,"GUR_PVT_Uniworld City, Sector 30",Private,Silokhara,Gurugram,Haryana,North,28.45945,77.05636
WMQISXM1V1-00317,New Shirke Company,"PUN_PVT_Shravasti Nagar, Ghorpadi",Private,Amazon UNPN-2,Pune,Maharashtra,West,18.528941,73.905466
WMQISXM1V1-00301,BLR-Bhadrappa Layout,"BLR_PVT_Tatanagar, Devinagar",Private,Tata Nagar,Bengaluru,Karnataka,South,13.058677,77.573386
WMQISXM1V1-00363,Raj Nagar 1,"GZB_PVT_ P & T Colony, Raj Nagar",Private,Raj Nagar,Ghaziabad,UP,North,28.674248,77.442612
WMQISXM1V1-00555,Chamarajapet,"BLR_PVT_KG nagar main Rd, RK Mutt layout",Private,Kampegowda Nagar,Bengaluru,Karnataka,South,12.950808,77.563748
WMQISXM1V1-00365,Noida Sector 142,NOI_PVT_Sector 142,Private,Sector 142,Noida,UP,North,28.501533,77.417891
WMQISXM1V1-00367,Noida Sector 142 2,NOI_PVT_Sector 142,Private,Sector 142,Noida,UP,North,28.501533,77.417891
WMQISXM1V1-00342,Sector 10-Gurugram 2,"GUR_PVT_Kadipur Village, Sector 10",Private,Kadipur Village,Gurugram,Haryana,North,28.45189,77.00178
WMQISXM1V1-00366,IOCL-Delhi-Welcome-Motors-Saket2,"DEL_IOC_Welcome-Motors-Saket, Pushp Vihar",IOCL,Saket,Delhi,Delhi,North,28.52777,77.21549
WMQISXM1V1-00354,IOCL-Delhi-Welcome-Motors-Saket 3,"DEL_IOC_Welcome-Motors-Saket, Pushp Vihar",IOCL,Saket,Delhi,Delhi,North,28.52777,77.21549
WMQISXM1V1-00285,Swarna E connect,"DEL_RFP_Krishna Colony, Hastsal",Private,Uttamnagar,Delhi,Delhi,North,28.63504,77.06129
WMQISXM1V1-00559,Bull Temple,"BLR_PVT_Hanumanthnagar, Banashankari",Private,Basavanagudi,Bengaluru,Karnataka,South,12.942328,77.564256
WMQISXM1V1-00384,HSR 1st Sector,"BLR_PVT_1st Sector, HSR Layout",Private,HSR layout,Bengaluru,Karnataka,South,12.91846,77.648715
WMQISXM1V1-00332,Uttarakhand Enclave 1,"DEL_PVT_Garhi Khasru, Burari",Private,Burari,Delhi,Delhi,North,28.770011,77.188987
WMQISXM1V1-00558,BLR-KOTHNUR,"BLR_PVT_Classic Orchards Layout, Kothnur",Private,Kothnur Main Road,Bengaluru,Karnataka,South,12.870056,77.583636
WMQISXM1V1-00560,BLR-Malleswaram,"BLR_PVT_Muneshwara Block, KB Nagar",Private,Yalappa Garden,Bengaluru,Karnataka,South,12.997546,77.57583
WMQISXM1V1-00390,Huskur Gate,BLR_PVT_Agrahara Huskur Gate,Private,Huskur Fruit Market,Bengaluru,Karnataka,South,12.841683,77.689436
WMQISXM1V1-00391, COCO Prabhadevi,MUM_IOC_COCO-Prabhadevi,IOCL,Shree Siddhivinayaka,Mumbai,Maharashtra,West,19.01885116,72.8311744
WMQISXM1V1-00563,COCO KR Puram II 2,"BLR_IOC_Coco-KR-Puram, Singayyanapalya",IOCL,Mahadevapura,Bengaluru,Karnataka,South,13.00012,77.68708
WMQISXM1V1-00372,Shadipur 3,DEL_DTL_Vishwavidyalaya Metro station,DTL,TPDDL ,Delhi,Delhi,North,28.650781,77.158524
WMQISXM1V1-00569,Budigere 2,"BLR_PVT_Sannatammanahalli, Katamnallur",Private,Budigere,Bengaluru,Karnataka,South,13.0518137,77.7595926
WMQISXM1V1-00561,Yashwanthapura,"BLR_PVT_Mahalakshmi Layout, Yashwanthapura",Private,Ullas Theater,Bengaluru,Karnataka,South,13.019003,77.551716
WMQISXM1V1-00340,Dwarka sector-9 -1,"DEL_DTL_Dwarka, Sector 9",DTL,Dwarka,Delhi,Delhi,North,28.573822,77.065052
WMQISXM1V1-00341,Dwarka sector-9 -2,"DEL_DTL_Dwarka, Sector 9",DTL,Dwarka,Delhi,Delhi,North,28.573822,77.065052
WMQISXM1V1-00371,Gurugram Sector 74 A,"GUR_PVT_Sector 36, Mohammadpur Jharsa",Private,Kadipur Village,Gurugram,Haryana,North,28.41531,76.99125
WMQISXM1V1-00373,Dwarka sector 11-1,"DEL_DTL_Dwarka, Sector 11",DTL,Dwarka,Delhi,Delhi,North,28.587155,77.04841
WMQISXM1V1-00377,Dwarka sector 11-2,"DEL_DTL_Dwarka, Sector 11",DTL,Dwarka,Delhi,Delhi,North,28.587155,77.04841
WMQISXM1V1-00323,Rajouri Garden 1,"DEL_BRP_Block J, Rajouri Garden",BRPL,Rajouri Garden,Delhi,Delhi,North,28.638381,77.120865
WMQISXM1V1-00324,Rajouri Garden 2,"DEL_BRP_Block J, Rajouri Garden",BRPL,Rajouri Garden,Delhi,Delhi,North,28.638381,77.120865
WMQISXM1V1-00335,BLR-HEBBAL NEW,BLR_PVT_Kaval Bairasandra,Private,RT Nagar,Bengaluru,Karnataka,South,13.019229,77.607822
WMQISXM1V1-00582,Kengeri Bus Terminal,BLR_BMR_Kengeri-Bus-Terminal Metro station,BMRCL,Mailasandra,Bengaluru,Karnataka,South,12.914299,77.48694
