QIS No.,QIS Name,QIS Name - New,Site Type2,Area,City,Circle,Region,Lat,Long
WMQISXM1V1-01231,SASA Services-DLF Sahibabad,GZB_FRN_SASA Services-DLF Sahibabad,Franchise,Ghaziabad,Ghaziabad,UP,North,28.69573,77.333852
WMQISXM1V1-01232,SASA Services-DLF Sahibabad,GZB_FRN_SASA Services-DLF Sahibabad,Franchise,Ghaziabad,Ghaziabad,UP,North,28.69573,77.333852
WMQISXM1V1-01233,SASA Services-DLF Sahibabad,GZB_FRN_SASA Services-DLF Sahibabad,Franchise,Ghaziabad,Ghaziabad,UP,North,28.69573,77.333852
WMQISXM1V1-00934,Valsarvakkam_4 QIS,CHE_PVT_Hub_Valsarvakkam,Hub-Private,Valsaravakam,Chennai,TamilNadu,South,13.04032,80.17841
WMQISXM1V1-00923,Valsarvakkam_4 QIS,CHE_PVT_Hub_Valsarvakkam,Hub-Private,Valsaravakam,Chennai,TamilNadu,South,13.04032,80.17841°
WMQISXM1V1-00935,Shivajinagar - E5 sub division cooke town,BLR_BESM_Shivajinagar - E5 sub division cooke town,BESCOM,Cooke Town,Bengaluru,Karnataka,South,13.003321,77.61944798
WMQISXM1V1-00938,Shivajinagar - E5 sub division cooke town,BLR_BESM_Shivajinagar - E5 sub division cooke town,BESCOM,Cooke Town,Bengaluru,Karnataka,South,13.003321,77.61944798
WMQISXM1V1-01235,COCO 56 SUKHMEET SINGH SERVICE PROV,MOH_IOC_COCO 56 SUKHMEET SINGH SERVICE,IOCL,Mohali,Mohali,Punjab,North,30.73653,76.71591
WMQISXM1V1-00943,Pahadi Eksar (Shimpoli),MUM_MMMOCL_Shimpoli,MMMOCL,Borivali,Mumbai,Maharastra,West,19.223161,72.840509
WMQISXM1V1-00945,Pahadi Eksar (Shimpoli),MUM_MMMOCL_Shimpoli,MMMOCL,Borivali,Mumbai,Maharastra,West,19.223161,72.840509
WMQISXM1V1-00895,Dindoshi,MUM_MMMOCL_Dindoshi,MMMOCL,Malad West,Mumbai,Maharastra,West,19.180411,72.857978
WMQISXM1V1-00946,Dindoshi,MUM_MMMOCL_Dindoshi,MMMOCL,Malad West,Mumbai,Maharastra,West,19.180411,72.857978
WMQISXM1V1-00948,Dindoshi,MUM_MMMOCL_Dindoshi,MMMOCL,Malad West,Mumbai,Maharastra,West,19.180411,72.857978
WMQISXM1V1-00949,Dindoshi,MUM_MMMOCL_Dindoshi,MMMOCL,Malad West,Mumbai,Maharastra,West,19.180411,72.857978
WMQISXM1V1-00944,Rashtriya Udyaan,MUM_MMMOCL_Rashtriya Udyan,MMMOCL,Borivali,Mumbai,Maharastra,West,19.235355,72.8632
WMQISXM1V1-00951,Rashtriya Udyaan,MUM_MMMOCL_Rashtriya Udyan,MMMOCL,Borivali,Mumbai,Maharastra,West,19.235355,72.8632
WMQISXM1V1-00960,JP Nagar 1st Phase ,"BLR_FRN_JP Nagar 1st Phase,9th cross",Franchise,Shakambari Nagar,Bengaluru,Karnataka,South,12.911071,77.577518
WMQISXM1V1-00959,JP Nagar 1st Phase ,"BLR_FRN_JP Nagar 1st Phase,9th cross",Franchise,Shakambari Nagar,Bengaluru,Karnataka,South,12.911071,77.577518
WMQISXM1V1-00963,JP Nagar 1st Phase ,"BLR_FRN_JP Nagar 1st Phase,9th cross",Franchise,Shakambari Nagar,Bengaluru,Karnataka,South,12.911071,77.577518
WMQISXM1V1-00966,JP Nagar 1st Phase ,"BLR_FRN_JP Nagar 1st Phase,9th cross",Franchise,Shakambari Nagar,Bengaluru,Karnataka,South,12.911071,77.577518
WMQISXM1V1-00968,JP Nagar 1st Phase ,"BLR_FRN_JP Nagar 1st Phase,9th cross",Franchise,Shakambari Nagar,Bengaluru,Karnataka,South,12.911071,77.577518
WMQISXM1V1-00965,JP Nagar 1st Phase ,"BLR_FRN_JP Nagar 1st Phase,9th cross",Franchise,Shakambari Nagar,Bengaluru,Karnataka,South,12.911071,77.577518
WMQISXM1V1-00967,JP Nagar 1st Phase ,"BLR_FRN_JP Nagar 1st Phase,9th cross",Franchise,Shakambari Nagar,Bengaluru,Karnataka,South,12.911071,77.577518
WMQISXM1V1-00969,JP Nagar 1st Phase ,"BLR_FRN_JP Nagar 1st Phase,9th cross",Franchise,Shakambari Nagar,Bengaluru,Karnataka,South,12.911071,77.577518
WMQISXM1V1-00970,JP Nagar 1st Phase ,"BLR_FRN_JP Nagar 1st Phase,9th cross",Franchise,Shakambari Nagar,Bengaluru,Karnataka,South,12.911071,77.577518
WMQISXM1V1-00626,JP Nagar 1st Phase ,"BLR_FRN_JP Nagar 1st Phase,9th cross",Franchise,Shakambari Nagar,Bengaluru,Karnataka,South,12.911071,77.577518
WMQISXM1V1-00929,Pallikaranai_Pvt_2 QIS,CHE_PVT_Hub_Pallikaranai,Hub-Private,Pallikaranai,Chennai,TamilNadu,South,12.93905369,80.2034257
WMQISXM1V1-00931,Pallikaranai_Pvt_2 QIS,CHE_PVT_Hub_Pallikaranai,Hub-Private,Pallikaranai,Chennai,TamilNadu,South,12.93905369,80.2034257
WMQISXM1V1-00942,Devipada,MUM_MMMOCL_Devipada,MMMOCL,Borivali,Mumbai,Maharastra,West,19.224709,72.863974
WMQISXM1V1-00941,Kandarpada,MUM_MMMOCL_Kandarpada,MMMOCL,Dahisar(w),Mumbai,Maharastra,West,19.256878,72.850899
WMQISXM1V1-00983,THURAIPAKKAM,CHE_PVT_Hub_THURAIPAKKAM,Hub-Private,okkiyam Thuraipakkam,Chennai,TamilNadu,South,"12°55'47.1""N ","80°14'01.6""E"
WMQISXM1V1-00985,THURAIPAKKAM,CHE_PVT_Hub_THURAIPAKKAM,Hub-Private,okkiyam Thuraipakkam,Chennai,TamilNadu,South,"12°55'47.1""N ","80°14'01.6""E"
WMQISXM1V1-01242,Maharani Avadhpuri,AGR_PVT_Maharani Avadhpuri,Private,avadhpuri Loha Mandi,Agra,UP,North,27.17647,77.95393
WMQISXM1V1-01241,SHRI GOVERDHAN INDUSTRIES,NOI_IOC_SHRI GOVERDHAN INDUSTRIES,IOCL, SECTOR 72,Noida,UP,North,28.582737,77.377013
WMQISXM1V1-01111,Shree Balaji Indian Oil,JPR_IOC_Shree Balaji Indian Oil,IOCL,Jaipur,Jaipur,Rajasthan,North,26.870865,75.88529
WMQISXM1V1-01104,Shree Balaji Indian Oil,JPR_IOC_Shree Balaji Indian Oil,IOCL,Jaipur,Jaipur,Rajasthan,North,26.870865,75.88529
WMQISXM1V1-00925,BLR_PVT_BTM 4th Stage _Mahesh kumar,"BLR_PVT_Hub_BTM 4th Stage,Devarachikkanahalli",Hub-Private,Devarachikkanahalli,Bengaluru,Karnataka,South,12.887042,77.61318
WMQISXM1V1-00930,BLR_PVT_BTM 4th Stage _Mahesh kumar,"BLR_PVT_Hub_BTM 4th Stage,Devarachikkanahalli",Hub-Private,Devarachikkanahalli,Bengaluru,Karnataka,South,12.887042,77.61318
WMQISXM1V1-00932,BLR_PVT_BTM 4th Stage _Mahesh kumar,"BLR_PVT_Hub_BTM 4th Stage,Devarachikkanahalli",Hub-Private,Devarachikkanahalli,Bengaluru,Karnataka,South,12.887042,77.61318
WMQISXM1V1-00933,BLR_PVT_BTM 4th Stage _Mahesh kumar,"BLR_PVT_Hub_BTM 4th Stage,Devarachikkanahalli",Hub-Private,Devarachikkanahalli,Bengaluru,Karnataka,South,12.887042,77.61318
